S.F.polaire.tr. left
S.F.median. left
S.F.inter. left
S.F.sup. left
S.F.marginal. left
S.F.orbitaire. left
S.Or. left
S.F.inf.ant. left
S.F.inf. left
S.Pe.C.inter. left
S.Pe.C.median. left
S.Pe.C.marginal. left
S.Pe.C.sup. left
S.F.int. left
F.C.L.r.ant. left
F.C.L.r.asc. left
F.C.L.r.diag. left
S.C.sylvian. left
F.C.L.r.sc.post. left
F.C.L.r.retroC.tr. left
S.T.s. left
F.C.L.a. left
F.C.L.p. left
S.T.i.ant. left
S.Pe.C.inf. left
S.T.i.post. left
S.O.T.lat.post. left
S.O.T.lat.med. left
S.T.s.ter.asc.post. left
S.T.s.ter.asc.ant. left
S.T.pol. left
S.C. left
S.Po.C.sup. left
F.I.P.Po.C.inf. left
S.Pa.sup. left
S.GSM. left
F.I.P.r.int.1 left
F.I.P. left
F.I.P.r.int.2 left
OCCIPITAL left
S.Cu. left
F.Cal.ant.-Sc.Cal. left
S.O.p. left
S.O.p. right
F.Cal.ant.-Sc.Cal. right
S.Cu. right
OCCIPITAL right
F.I.P.r.int.2 right
F.I.P. right
F.I.P.r.int.1 right
S.GSM. right
S.Pa.sup. right
F.I.P.Po.C.inf. right
S.Po.C.sup. right
S.C. right
S.T.pol. right
S.T.s.ter.asc.ant. right
S.T.s.ter.asc.post. right
S.O.T.lat.med. right
S.O.T.lat.post. right
S.T.i.post. right
S.Pe.C.inf. right
S.T.i.ant. right
F.C.L.p. right
F.C.L.a. right
S.T.s. right
F.C.L.r.retroC.tr. right
F.C.L.r.sc.post. right
S.C.sylvian. right
F.C.L.r.diag. right
F.C.L.r.asc. right
F.C.L.r.ant. right
S.F.int. right
S.Pe.C.sup. right
S.Pe.C.marginal. right
S.Pe.C.median. right
S.Pe.C.inter. right
S.F.inf. right
S.F.inf.ant. right
S.Or. right
S.F.orbitaire. right
S.F.marginal. right
S.F.sup. right
S.F.inter. right
S.F.median. right
S.F.polaire.tr. right
