,F.C.L.a._left.surface_native,F.C.L.a._right.surface_native,F.C.L.p._left.surface_native,F.C.L.p._right.surface_native,F.C.L.r.ant._left.surface_native,F.C.L.r.ant._right.surface_native,F.C.L.r.asc._left.surface_native,F.C.L.r.asc._right.surface_native,F.C.L.r.diag._left.surface_native,F.C.L.r.diag._right.surface_native,F.C.L.r.retroC.tr._left.surface_native,F.C.L.r.retroC.tr._right.surface_native,F.C.L.r.sc.ant._left.surface_native,F.C.L.r.sc.ant._right.surface_native,F.C.L.r.sc.post._left.surface_native,F.C.L.r.sc.post._right.surface_native,F.C.M.ant._left.surface_native,F.C.M.ant._right.surface_native,F.C.M.post._left.surface_native,F.C.M.post._right.surface_native,F.Cal.ant..Sc.Cal._left.surface_native,F.Cal.ant..Sc.Cal._right.surface_native,F.Coll._left.surface_native,F.Coll._right.surface_native,F.I.P.Po.C.inf._left.surface_native,F.I.P.Po.C.inf._right.surface_native,F.I.P._left.surface_native,F.I.P._right.surface_native,F.I.P.r.int.1_left.surface_native,F.I.P.r.int.1_right.surface_native,F.I.P.r.int.2_left.surface_native,F.I.P.r.int.2_right.surface_native,F.P.O._left.surface_native,F.P.O._right.surface_native,INSULA_left.surface_native,INSULA_right.surface_native,OCCIPITAL_left.surface_native,OCCIPITAL_right.surface_native,S.C.LPC._left.surface_native,S.C.LPC._right.surface_native,S.C._left.surface_native,S.C._right.surface_native,S.C.sylvian._left.surface_native,S.C.sylvian._right.surface_native,S.Call._left.surface_native,S.Call._right.surface_native,S.Cu._left.surface_native,S.Cu._right.surface_native,S.F.inf._left.surface_native,S.F.inf._right.surface_native,S.F.inf.ant._left.surface_native,S.F.inf.ant._right.surface_native,S.F.int._left.surface_native,S.F.int._right.surface_native,S.F.inter._left.surface_native,S.F.inter._right.surface_native,S.F.marginal._left.surface_native,S.F.marginal._right.surface_native,S.F.median._left.surface_native,S.F.median._right.surface_native,S.F.orbitaire._left.surface_native,S.F.orbitaire._right.surface_native,S.F.polaire.tr._left.surface_native,S.F.polaire.tr._right.surface_native,S.F.sup._left.surface_native,S.F.sup._right.surface_native,S.GSM._left.surface_native,S.Li.ant._left.surface_native,S.Li.ant._right.surface_native,S.Li.post._left.surface_native,S.Li.post._right.surface_native,S.O.T.lat.ant._left.surface_native,S.O.T.lat.ant._right.surface_native,S.O.T.lat.int._left.surface_native,S.O.T.lat.int._right.surface_native,S.O.T.lat.med._left.surface_native,S.O.T.lat.med._right.surface_native,S.O.T.lat.post._left.surface_native,S.O.T.lat.post._right.surface_native,S.O.p._left.surface_native,S.O.p._right.surface_native,S.Olf._left.surface_native,S.Olf._right.surface_native,S.Or._left.surface_native,S.Or._right.surface_native,S.Pa.int._left.surface_native,S.Pa.int._right.surface_native,S.Pa.sup._left.surface_native,S.Pa.sup._right.surface_native,S.Pa.t._left.surface_native,S.Pa.t._right.surface_native,S.Pe.C.inf._left.surface_native,S.Pe.C.inf._right.surface_native,S.Pe.C.inter._left.surface_native,S.Pe.C.inter._right.surface_native,S.Pe.C.marginal._left.surface_native,S.Pe.C.marginal._right.surface_native,S.Pe.C.median._left.surface_native,S.Pe.C.median._right.surface_native,S.Pe.C.sup._left.surface_native,S.Pe.C.sup._right.surface_native,S.Po.C.sup._left.surface_native,S.Po.C.sup._right.surface_native,S.R.inf._left.surface_native,S.R.inf._right.surface_native,S.Rh._left.surface_native,S.Rh._right.surface_native,S.T.i.ant._left.surface_native,S.T.i.ant._right.surface_native,S.T.i.post._left.surface_native,S.T.i.post._right.surface_native,S.T.pol._left.surface_native,S.T.pol._right.surface_native,S.T.s._left.surface_native,S.T.s._right.surface_native,S.T.s.ter.asc.ant._left.surface_native,S.T.s.ter.asc.ant._right.surface_native,S.T.s.ter.asc.post._left.surface_native,S.T.s.ter.asc.post._right.surface_native,S.p.C._left.surface_native,S.p.C._right.surface_native,S.s.P._left.surface_native,S.s.P._right.surface_native
F.C.L.a._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.C.L.a._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.C.L.p._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.C.L.p._right.surface_native,0,0,0,0,0,0.954451,0,0.982899,0,0,0,0.89859,0,0,0,0,0,0.667521,0,0,0,0,0,0,0.649571,0.99561,0,0.918886,0,0,0,0.920675,0,0.962703,0,0,0.8533,0.847165,0,0,0,0.976308,0.340913,0.656879,0,0,0,0,0.338484,0,0,0,0,0.98304,0.725628,0,0,0,0.864431,0.992801,0,0,0,0,0,0.988677,0.915613,0,0,0,0,0.948696,0.993542,0,0,0,0,0,0,0,0,0.804161,0,0,0.999964,0,0,0,0,0.907277,0,0.866714,0,0,0,0,0,0,0.860403,0,0,0.999999,0,0,0,0,0,0.809168,0,0,0,0,0,0,0,0,0,0,0.972982,0,0.666397,0,0
F.C.L.r.ant._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.C.L.r.ant._right.surface_native,0,0,0,0.954451,0,0,0,0,0,0,0.503673,0,0,0,0,0,0,0,0,0,0,0,0,0.64121,0.984248,0.824574,0.251539,0.997581,0.735232,0,0,0,0,0.833143,0,0,0.984353,0,0.517074,0,0,0.943118,0.986379,0.854188,0,0.921956,0,0,0.915185,0,0,0,0,0.626795,0.924858,0,0,0,0,0,0,0,0,0,0,0,0.980825,0.804146,0,0,0,0.876845,0,0.98,0,0,0,0,0,0,0,0.04991,0,0.89958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164106,0,0.738767,1,0.98,0,0,0,0,0.105063,0,0,0,0.480517,0.767695,0.991841,0,0,0,0.865553,0,0,0.987308,0.98
F.C.L.r.asc._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.C.L.r.asc._right.surface_native,0,0,0,0.982899,0,0,0,0,0,0,0,0.981661,0,0,0,0,0,0,0,0,0,0,0,0.936467,0,0,0,0,0,0,0,0.823801,0,0,0,0,0,0.992651,0,0,0.977093,0,0.961803,0,0,0.957071,0,0,0.0351557,0,0,0,0.76331,0.628718,0,0,0,0,0.982652,0.983428,0,0,0,0,0,0,0.981612,0.593314,0,0,0,0,0.426871,0,0,0,0,0.970335,0,0,0,0.997611,0,0,0,0,0,0,0,0.913949,0,0.997052,0,0,0,0,0,0,0.929448,0,0,0,0.834784,0,0,0,0,0,0.457865,0,0,0,0,0,0.983372,0,0,0,0,0,0.717442,0.965424,0.82081
F.C.L.r.diag._left.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.C.L.r.diag._right.surface_native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
